record_id,ສະພາບເຕັກນິກ,vehicle_id,ຊະນິດລົດທີ່ເກີດອຸປະຕິເຫດ,ປະເພດລົດ
2acb1e71-c139-4a1c-80eb-353d52ec6a8b,1. ດີ,73caca36-76f2-4413-b467-ccb77f40625a,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
04ba4091-29e4-4523-af99-5badea62ca07,1. ດີ,057b9b48-7dd6-4806-8ea3-4d690cb4afeb,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດກະບະ
04ba4091-29e4-4523-af99-5badea62ca07,1. ດີ,fdaad908-4588-472e-875b-8ad095c76e8a,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
f58f4670-ecfd-4938-b618-2ebcb9b71bb6,1. ດີ,25cd21fa-c99c-4809-9378-aeb29e9c9bdb,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດກະບະ
f58f4670-ecfd-4938-b618-2ebcb9b71bb6,1. ດີ,ff3b6363-3f1c-48ca-8b45-c4425ae41c3d,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
f58f4670-ecfd-4938-b618-2ebcb9b71bb6,1. ດີ,0cc42a83-849c-4699-a418-bc9a17e24d44,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
823dd916-81dc-45cc-9824-c758e7dfc0b4,1. ດີ,5374997a-685f-4594-bdd9-e3531e79f20d,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດກະບະ
823dd916-81dc-45cc-9824-c758e7dfc0b4,2. ບໍ່ດີ,b7701bda-098b-495e-855d-e4b962d0b333,1. ລົດຈີນ,ລົດຈັກ
1f1c54d7-e746-495e-8fc4-8897ed191bd3,1. ດີ,9228fbec-3fc3-43d0-b712-fe2a1b6e7755,2. ລົດເກົ່າຫຼີ,ລົດກະບະ
1f1c54d7-e746-495e-8fc4-8897ed191bd3,1. ດີ,3cc17675-8e82-41b1-8e00-acfc1abeb85e,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
35ccb203-590c-4454-97b4-9c3428e5b6ef,1. ດີ,581602fc-d6df-4703-9b05-a9e86020dba6,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
35ccb203-590c-4454-97b4-9c3428e5b6ef,,b582a135-a0d9-4ed9-855f-3ae352dd2f97,,ຄົນຍາງ
8dda0256-d2fb-485c-9916-69999c7cc589,1. ດີ,aa8f4982-cdcf-48f9-ac22-baf931cf6395,2. ລົດເກົ່າຫຼີ,ລົດກະບະ
8dda0256-d2fb-485c-9916-69999c7cc589,1. ດີ,0295a6e4-9e74-452b-b715-e44b28863f0a,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
eaf40c7f-db50-4927-a6be-d9b12c816897,4. ໄຟສັນຍານ,5f5bd2ce-3402-49a1-bc5a-94d62b39f4e0,2. ລົດເກົ່າຫຼີ,ລົດຕູ້
eaf40c7f-db50-4927-a6be-d9b12c816897,2. ບໍ່ດີ,99b13079-d3ed-4362-9d34-6a9c0da120f1,1. ລົດຈີນ,ລົດຈັກ
6fa57f73-0efb-487f-ba15-6afbcb1961a0,1. ດີ,931b7b8b-9cc2-45c1-8cf5-a9238e2da792,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
6fa57f73-0efb-487f-ba15-6afbcb1961a0,1. ດີ,5506aae0-9865-4e76-a0ee-b26c87d3d29f,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
9c9cee67-5b83-454b-878f-e67ec04f93c6,1. ດີ,ff0a3743-0488-4fd3-aa7e-a4a93b891703,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດເກັງ
9c9cee67-5b83-454b-878f-e67ec04f93c6,1. ດີ,9baa197a-3b83-4162-911e-4730ab2d88d0,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດກະບະ
cabacb26-880b-4639-8e35-32df795a1567,1. ດີ,9cde15ec-916e-4be2-86cd-8b6d1e76f64d,2. ລົດເກົ່າຫຼີ,ລົດກະບະ
cabacb26-880b-4639-8e35-32df795a1567,1. ດີ,6ed5efc5-c444-406e-af32-f22fb436967a,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
d3b66e02-80de-4456-a28e-5e4a79402917,1. ດີ,e3bd1b1a-b0cc-4137-b242-d8e6a4e4b4b6,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
d3b66e02-80de-4456-a28e-5e4a79402917,1. ດີ,af789f6d-5066-4a09-b38b-43c249cf137a,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
0e896231-a8bc-4466-8da9-dcaa9424396f,1. ດີ,0473aa25-9cc9-4763-b90a-1f3dc0486f50,2. ລົດເກົ່າຫຼີ,ລົດຈັກ
0e896231-a8bc-4466-8da9-dcaa9424396f,1. ດີ,8c3288b6-acd6-4254-a440-59eaa9c58027,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
e4125c28-44f5-40f4-ad01-4e2a97cf6efd,1. ດີ,1528908e-2fee-4e9b-a739-d6ed25c01aba,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
e4125c28-44f5-40f4-ad01-4e2a97cf6efd,1. ດີ,f7317efa-8564-446e-a236-09947a95ccf5,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
1b5e0fbd-0bd9-46fb-ac6f-f2c0f4421c2c,1. ດີ,8bd8f43f-3ba9-4671-80e9-2c13db96e723,2. ລົດເກົ່າຫຼີ,ລົດກະບະ
1b5e0fbd-0bd9-46fb-ac6f-f2c0f4421c2c,1. ດີ,c70cae8d-d03b-4a8a-8d62-4135579677fc,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
014d3e74-ccf9-485d-b685-8829feffa833,1. ດີ,129c41f9-6328-439c-b4ea-de89f2af0079,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈິບ
014d3e74-ccf9-485d-b685-8829feffa833,1. ດີ,95affa1c-35d9-43a7-ada4-8a36e54790c8,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
b27dfb75-07e9-439f-ae09-a20e9a981ab5,1. ດີ,460a873a-f601-4546-b77e-7b1707b7158f,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
b27dfb75-07e9-439f-ae09-a20e9a981ab5,1. ດີ,b0b4f682-8c75-4791-82f6-28ff74b81b16,2. ລົດເກົ່າຫຼີ,ລົດຈັກ
d97d956f-85cf-4623-ad00-620c567ab2a0,1. ດີ,b28d2e9e-906a-4b7c-ab71-20ad6af6f74f,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດກະບະ
d97d956f-85cf-4623-ad00-620c567ab2a0,1. ດີ,ac807a28-00e9-4d91-aab4-5f3bfdd7c12d,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
eb2ca3d0-186d-4c74-98bd-8127daa6ec66,1. ດີ,ba713e5d-3d4d-4e6b-93f7-3a2a509fd486,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
eb2ca3d0-186d-4c74-98bd-8127daa6ec66,1. ດີ,1587569c-7a17-46ad-9506-6fe2e82e87fb,2. ລົດເກົ່າຫຼີ,ລົດເກັງ
3e861f65-2c1f-4840-9d24-96ad12317071,1. ດີ,1ac7d244-6aa8-4994-a3d1-0818b180d815,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈິບ
3e861f65-2c1f-4840-9d24-96ad12317071,1. ດີ,013d690e-cd36-4cf1-8108-7c0734688fee,2. ລົດເກົ່າຫຼີ,ລົດກະບະ
83b5242f-08c4-4a72-b11c-b4bbc4f9ab50,1. ດີ,a15a542e-aa37-4ebd-a753-396f1a072ec8,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດກະບະ
83b5242f-08c4-4a72-b11c-b4bbc4f9ab50,1. ດີ,06265827-3487-452d-8828-d4da78a9dc15,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດເກັງ
